feature,importance
num__online_boarding,0.17594687115557298
num__in_flight_wifi_service,0.14683038881681393
cat__class_Business,0.08517006523204769
cat__type_of_travel_Personal,0.07473734531867321
num__in_flight_entertainment,0.06232190180465701
cat__type_of_travel_Business,0.0576684092084792
num__seat_comfort,0.047643003664639146
num__ease_of_online_booking,0.036171248120371854
cat__class_Economy,0.032460985386286535
cat__customer_type_First-time,0.03157502026142493
num__leg_room_service,0.02869271480482033
cat__customer_type_Returning,0.027507527541596914
num__on_board_service,0.026409416298231136
num__cleanliness,0.023939868396193813
num__in_flight_service,0.020835610877582643
num__check_in_service,0.020623471624203048
num__baggage_handling,0.019267994266675956
num__age,0.01825234785255418
num__flight_distance,0.018030764857102286
num__departure_and_arrival_time_convenience,0.010604072296589639
